회사명,포지션,설명,링크
휴마인,교육사업PM,"기획, 영업, 교육기획, PM, AI",직접 방문 필요
Verywords,UI/UX 디자이너,"서비스 앱 디자인, 웹 운영툴 디자인",직접 방문 필요
유스하이텍,.NET Solution 개발자 모집,"C#, .NET",직접 방문 필요
링글,[링글] SEO&B2B 마케팅 인턴,온라인 콘텐츠 마케팅,직접 방문 필요
대양산업,앱 개발자 모집,앱 개발자,직접 방문 필요
(주)에이핀아이앤씨,소프트웨어 개발자 채용 (신입/경력),"React, NodeJS 풀스택 개발",직접 방문 필요
테서,PM/PO,"프로덕트매니저, 프로덕트오너",직접 방문 필요
팀스파르타,교육 운영기획 매니저 인턴 (전환형),교육 운영기획 매니저 인턴 (전환형),직접 방문 필요
주식회사 딥오토,[인턴] 웹 풀스택 엔지니어,"웹 기반 커스텀 파싱 설계, 개발 등",직접 방문 필요
주식회사 딥오토,AI Infra & 보안 엔지니어,"AI인프라,국제보안인증,시스템설계 등",직접 방문 필요
